Experiment,Feature,GEO
ATAC-seq,Chromatin compaction,GSE148925
ChIPseq,H3K4me1,GSE114732
ChIPseq,H3K4me3,GSE114732
ChIPseq,HIF,GSE114732
ChIPseq,NMYC,GSE117304
ChIPseq,MED1,GSE125245
ChIPseq,H3ac,GSE14092
ChIPseq,H3K36me3,GSE14092
ChIPseq,H3K4me1,GSE14092
ChIPseq,H3K4me3,GSE14092
ChIPseq,H3K9me3,GSE14092
ChIPseq,H3K27me3,GSE14097
ChIPseq,H3K9me3,GSE14097
ChIPseq,POL2,GSE28126
ChIPseq,NKX31,GSE28264
ChIPseq,REPIN1,GSE28857
ChIPseq,CTCF,GSE33213
ChIPseq,GATA2,GSE38452
ChIPseq,EZH2,GSE39459
ChIPseq,SUZ12,GSE39459
ChIPseq,PSF,GSE45124
ChIPseq,H3K27ac,GSE51621
ChIPseq,TCF7L2,GSE51621
ChIAPET,AR,GSE54946
ChIPseq,H3,GSE55279
ChIPseq,WDR5,GSE55279
ChIPseq,CTBP1,GSE58428
ChIPseq,CTBP2,GSE58428
ChIPseq,CSNK2A1,GSE58607
ChIPseq,EZH2,GSE62492
ChIPseq,FOXP1,GSE62492
ChIPseq,H3ac,GSE62492
ChIPseq,RUNX1,GSE62492
ChIPseq,MRE11A,GSE63202
ChIPseq,CHD1,GSE64528
ChIPseq,KDM1A,GSE64528
RNAseq,RNA,GSE64530
ChIPseq,TET2,GSE66037
ChIPseq,TRIM24,GSE69331
ChIPseq,CHD4,GSE72690
ChIPseq,SMARCA1,GSE72690
ChIPseq,SMARCA2,GSE72690
ChIPseq,SMARCA4,GSE72690
ChIPseq,SMARCA5,GSE72690
ChIPseq,H3K27ac,GSE73783
ChIPseq,H2AZac,GSE76336
ChIPseq,H2AZ,GSE76336
ChIPseq,POU2F1,GSE77770
ChIPseq,GRHL2,GSE80256
ChIPseq,AR,"GSE83860,GSE148358,GSE84432"
GROseq,Nascent RNA,GSE83860/GSE84432
ChIPseq,FOXA1,GSE83860
ChIPseq,PIAS1,GSE83860
ChIPseq,RELA,GSE83860
ChIPseq,MTOR,GSE93845
ChIPseq,HOXB13,GSE94682
ChIPseq,ARID1A,GSE94682
ChIPseq,SMARCA4,GSE94682
ChIPseq,TLE3,GSE94682
ChIPseq,TRIM28,GSE94682
ChIPseq,WDHD1,GSE94682
